,Cd,Cr,Ni,Cu,Zn,Mn,Hg,As,Pb,ERI
0,21.0,1.96,10.199999999999998,1.94,0.057199999999999994,10.84,11.2,38.199999999999996,37.599999999999994,132.9972
1,24.0,3.5599999999999996,12.8,4.825,0.1246,11.979999999999999,28.799999999999994,31.199999999999996,39.5,156.78959999999998
2,45.0,3.8,20.7,7.1,0.1338,11.78,64.8,19.0,44.1,216.41379999999998
3,6630.0,56.92,125.19999999999999,4.63,0.1224,37.91,99.2,20.399999999999995,138.79999999999998,7113.1824
4,9.0,1.0,5.8,0.99,0.061399999999999996,11.0,1.6,15.799999999999999,31.599999999999998,76.8514
5,15.0,1.24,6.2,4.25,0.1196,9.979999999999999,7.199999999999998,12.2,29.399999999999995,85.58959999999998
6,276.0,11.839999999999998,72.1,9.16,0.1506,32.62,73.6,19.6,56.69999999999999,551.7706000000001
7,495.0,44.08,35.599999999999994,3.2600000000000002,0.067,29.79,109.60000000000001,21.4,197.89999999999998,936.697
8,245.99999999999997,20.439999999999998,25.6,0.475,0.0346,12.450000000000001,85.6,12.4,95.3,498.2996
