,SamplingPoint,Latitude,Longitude,CRWinterA,CRWinterC,CRSummerA,CRSummerC
0,Gabtoli_Dhalweshri,23.787444,90.33425,0.017564796946057143,0.012649067734399999,0.013255121890171428,0.009540260267200002
1,Gabtoli_turag,23.784639,90.336417,0.01800150659471429,0.012961588478000004,0.03727932615782857,0.0267955900688
2,Shah Cem MirpurGhat,23.774111,90.336833,0.019737841980485716,0.014197405680399997,0.014268234539114286,0.010263566822800002
3,Hazaribag_Shampur,23.749972,90.33675,0.13772746240445716,0.0991696109872,0.05895066836377143,0.0425559359984
4,Rayerbazar,23.740083,90.350281,0.008361196036914285,0.0060191675504,0.00909937461722857,0.0065465593435999996
5,Kholamora Bazar,23.716889,90.358917,0.00776455600222857,0.0055885270936,0.01811317234817143,0.013024859143199997
6,Zinzira,23.710083,90.391972,0.05583932779368571,0.040139300834799996,0.0736250232316857,0.0529037805508
7,Sadarghat_Terminal,23.702944,90.412139,0.05008100081780001,0.0361255218476,0.05977999495222856,0.0430795510336
8,Postogola Bridge,23.690139,90.424083,0.02949927821317143,0.021258663453200002,0.03450530966214286,0.024824716910000003
