"","Dim.1","Dim.2","Dim.3","Dim.4"
"Cr",0.943878655708028,-0.15447006606013,0.273477424499357,0.0872420425535708
"Mn",0.224248910973521,0.798067866686822,0.427946065218774,-0.317127058841648
"Fe",0.538661568453171,0.690994971455141,0.428429781664178,-0.164259164901949
"Co",0.816292371820879,-0.380864940888894,-0.181917417402477,-0.211573724986808
"Cu",0.336593290870358,0.372490011944652,0.0149998016423485,0.859340210921947
"Zn",0.157595012344238,0.41909302862077,-0.677009699262135,-0.164867199163246
"As",0.956049782514156,-0.187509147200904,0.0448197349952599,-0.0918933262891429
"Se",0.95788664748222,-0.222451981819676,-0.10040759449085,-0.000100325841781897
"Cd",0.965908910425039,-0.114528415979928,-0.00851209214280152,-0.190257404036512
"Hg",0.799464357357846,0.306637307296858,-0.401982347328592,0.305007210787053
"Pb",0.0697458879294802,-0.402525073356499,0.690927890133725,0.20889167146338
