"","RC1","RC2","RC3","RC4"
"Cr",0.898773809622032,0.226458136973305,-0.271452392034257,0.253781291478497
"Mn",-0.026133704600328,0.981593535773315,0.0817218394657809,0.00447225478731339
"Fe",0.278260699554949,0.930021361275256,0.0148863473153391,0.188608415226734
"Co",0.927415056748973,-0.115583973964783,0.0791850762694989,-0.0975710434731439
"Cu",0.0637954732958499,0.107981865735169,-0.0255691248376197,0.987092051800894
"Zn",0.0826590446334747,0.0685965320907898,0.818564447264845,0.0664283419079906
"As",0.962905644584257,0.144355513489917,-0.0476751266978869,0.0966713330728521
"Se",0.971466248730549,0.0159761867158744,0.0397418834660973,0.177572746982534
"Cd",0.967185824066046,0.206331284045831,0.0547475810461749,0.0367260415507904
"Hg",0.628168972697461,0.133974742284523,0.458241684743206,0.604365759818905
"Pb",0.116565777583096,-0.00635920947351408,-0.820349255660589,0.036153589359392
