,CdW,SrW,FeW,HgW,CoW,NiW,MnW,CuW,CrW,PbW,AsW
0,3.515838140066336,-0.12261928666395569,1.0188930928477304,4.280956313831056,4.500478342943971,3.2818858009320016,1.4243846715380966,3.5396533389466494,3.4532763035665353,3.332076050263445,2.4643582997172238
1,3.4229254087091565,-0.23132554610645567,0.6407050526481527,4.280956313831056,4.469803302709736,3.2307377521460703,1.7059205776245017,3.523380130479749,3.463880858797365,3.818225007276522,2.686750721053672
2,3.531974195873213,-0.088130910278665,0.9248484850760447,4.316145742293356,4.514573172829758,3.2700130834589336,1.7457233683891502,3.5329854466807546,3.7900290458973216,5.022106668120349,4.04998304283738
3,3.466318004222537,0.03692656899835741,0.6155304390439249,4.312277924853643,4.508549385201988,3.260138335523818,1.6486529155817837,3.528824954054971,3.7321884539043344,4.9483443260278985,4.019200812062045
4,3.3303403347035623,-0.4843585597827505,0.5345445937349328,4.278975949702815,4.467734922368507,3.226513166284345,1.5767460650075609,3.5216334379906797,3.699522264984012,4.911033568159273,4.0137796876339
5,3.4432343911094963,-0.45476377759445463,1.063502942306158,4.3045110418099535,4.494395290892128,3.2809373384698146,1.7500506294861409,3.545932566223061,4.0414605453337815,5.0526000144478695,4.119773212133146
6,3.682809824119301,0.3368123319733417,1.59512748015238,4.339137384919585,4.5423563293432965,3.2927762138241197,1.4621880772173403,3.7767143297177572,3.804513292143657,4.995927838501464,4.025275326471729
7,3.825321468587053,0.5598090234928179,0.32908009510683556,4.346720556338649,4.546282032557096,3.2970321990629508,1.507996615109234,3.6158188549335923,3.798432376751478,4.984714434621652,4.027294494108381
8,4.052806359174653,0.6270879763938327,2.0480459108796323,5.002402490215305,4.657531126671802,3.331929018591828,1.775120795192175,3.6205864104518777,3.594206344964776,4.903302974392286,4.002875941515165
9,4.273018494406416,0.6476982560691188,2.3631285905543447,5.524398058683074,4.957885126103778,3.4222410972054704,2.496339248291899,3.715479594154984,3.5528119771174502,4.896100855972982,3.9915444691591793
10,4.1115780392602534,0.5813958857009638,1.7078192485066896,4.748461233004035,4.691605060766331,3.3527876234894927,1.5965994901730103,3.847706479771707,4.2510617641677175,5.068873095444018,4.176065561467129
11,3.418197840172172,-0.30202853744965746,0.47225143842250844,4.30061186365027,4.4635892441109535,3.2063197749506593,1.5215347190876514,3.5202855843818934,3.712111661203398,4.915164677437757,4.012421217626851
12,3.6114347120823473,0.03692656899835741,0.6964794872571862,4.331514143716561,4.536447672452521,3.288174488715399,1.7114785910922854,3.609837169360185,4.028854862672185,5.0364860952825214,4.116615638010154
13,4.116450367568732,0.4270101409449199,2.082671627219296,4.6213681471498935,4.707468696921709,3.3987738287636726,1.844073144598687,3.855383104195888,4.3634530017139115,5.124101033451507,4.200727615701398
14,4.12517930536934,0.6026645024546152,2.031352418702452,4.459431618637297,4.762500686273344,3.4358396500078157,1.7697403998183483,3.9028425879035527,4.066346216140848,5.077108925697766,4.139197412727945
15,4.216050894462621,0.5670405927238937,2.1909500088142146,5.6095973853014565,4.60955986446191,3.320571285758024,2.3968089860074286,3.615477711626047,4.053957038034622,5.071567519088679,4.128577829945563
16,4.043626932400258,0.6201519291834562,0.2695772517005659,4.387730153283108,4.602036014080098,3.3107644085937857,1.4298688506799297,3.6182046020603624,4.404316653822227,5.101043585933699,4.2185096202854515
17,3.7062687969432897,0.09811008544984799,0.8971817424597841,4.395062799517578,4.5599384770386795,3.2759056513821347,1.737798910588262,3.604690196220378,3.6068750580711155,4.913851516267033,4.012421217626851
18,3.8324459030204348,0.5885203201343454,0.8858701258765702,4.4329594072761065,4.700439718141092,3.345868209549702,1.7368373489071425,3.673327000786094,3.5410237056653266,4.872732209757979,3.9717598171447275
19,4.038501900222391,0.5742360941280977,2.1203117208243465,5.39780296186249,4.5482408855951535,3.254862978679535,2.2879319089714567,3.5751719975283467,3.458588324781194,4.8930575956943265,3.946374498724814
